1000, 797, 0, 0, 0
2000, 747, 0, 0, 0
3000, 757, 0, 0, 0
4000, 821, 0, 0, 0
5000, 804, 0, 0, 0
6000, 830, 0, 0, 0
7000, 801, 0, 0, 0
8000, 828, 0, 0, 0
9000, 829, 0, 0, 0
10000, 834, 0, 0, 0
11001, 723, 0, 0, 0
12000, 124, 0, 0, 0
13000, 814, 0, 0, 0
14000, 807, 0, 0, 0
15000, 828, 0, 0, 0
16000, 810, 0, 0, 0
17000, 806, 0, 0, 0
18001, 789, 0, 0, 0
19001, 777, 0, 0, 0
20000, 756, 0, 0, 0
21000, 760, 0, 0, 0
22000, 770, 0, 0, 0
23000, 771, 0, 0, 0
24000, 759, 0, 0, 0
25000, 753, 0, 0, 0
26001, 732, 0, 0, 0
27000, 629, 0, 0, 0
28000, 765, 0, 0, 0
29000, 792, 0, 0, 0
30000, 797, 0, 0, 0
